filename,approachability,arousal,danceability,engagingness,instrumentalness,tempo,valence,ai
ahram-j-1,0.2991497814655304,3.4172604084014893,0.2711799144744873,0.10264286398887634,0.9141049385070801,84,4.016966819763184,TRUE
ahram-j-2,0.1889459639787674,4.459195613861084,0.4690238833427429,0.5624804496765137,0.3271963894367218,95,3.7674708366394043,TRUE
aleksandra-b-1,0.16443495452404022,5.34303092956543,0.8357579708099365,0.5665221214294434,0.37024521827697754,68,4.738314151763916,FALSE
aleksandra-b-2,0.2511400580406189,3.680455207824707,0.691847026348114,0.13012492656707764,0.8842366337776184,104,4.04494047164917,TRUE
angelo-w-1,0.16143666207790375,3.6215789318084717,0.7069913744926453,0.3248783051967621,0.7907066345214844,140,3.3014726638793945,FALSE
angelo-w-2,0.0915532037615776,4.474232196807861,0.6235294938087463,0.3287171423435211,0.7704334259033203,161,3.889920949935913,FALSE
berend-b-1,0.14507852494716644,5.021568298339844,0.7396223545074463,0.5278042554855347,0.5858963131904602,143,4.429538249969482,TRUE
berend-b-2,0.2117881029844284,5.656832218170166,0.6107738614082336,0.5786535143852234,0.34871575236320496,75,4.476576805114746,TRUE
bram-d-1,0.13482172787189484,4.103662490844727,0.7234549522399902,0.24609693884849548,0.7549704313278198,110,3.587440252304077,TRUE
bram-d-2,0.15135140717029572,4.176728248596191,0.2344450205564499,0.2634698450565338,0.6638845801353455,125,3.9087412357330322,TRUE
cecilia-b-1,0.3579953610897064,4.013361930847168,0.3293113112449646,0.4909402132034302,0.8347649574279785,81,4.511073589324951,TRUE
cecilia-b-2,0.26876044273376465,4.355433464050293,0.3941079080104828,0.30558913946151733,0.6952985525131226,100,3.9393298625946045,TRUE
daniel-p-1,0.18542368710041046,4.524411201477051,0.6959162950515747,0.25978147983551025,0.6522150039672852,132,3.9485509395599365,NA
daniel-p-2,0.12327581644058228,4.066916465759277,0.5276709794998169,0.3296794593334198,0.8453050851821899,101,3.664841651916504,NA
desmond-l-1,0.262981653213501,4.4781084060668945,0.28595250844955444,0.41560715436935425,0.6434987187385559,135,3.936314582824707,TRUE
desmond-l-2,0.2929443418979645,5.076702117919922,0.30105194449424744,0.5524328947067261,0.4989388585090637,73,4.316220760345459,TRUE
ellen-r-1.mp3,0.21583832800388336,4.444673538208008,0.4172240197658539,0.4521881937980652,0.4592585563659668,151,3.8331358432769775,TRUE
ellen-r-2.mp3,0.21583832800388336,4.444673538208008,0.4172240197658539,0.4521881937980652,0.4592585563659668,151,3.8331358432769775,TRUE
elze-s-1,0.056788258254528046,4.619552135467529,0.47170644998550415,0.53963303565979,0.526115894317627,162,3.6391894817352295,NA
elze-s-2,0.18832315504550934,3.98429012298584,0.313634991645813,0.6307094097137451,0.624031126499176,116,3.4922735691070557,NA
erik-l-1,0.25230348110198975,3.5346426963806152,0.5636369585990906,0.15102490782737732,0.9096460342407227,154,4.223231792449951,TRUE
erik-l-2,0.34338343143463135,3.530501127243042,0.21160948276519775,0.31375640630722046,0.9009870290756226,154,3.6298320293426514,FALSE
evan-l-1,0.07345567643642426,4.138130187988281,0.32985585927963257,0.29413679242134094,0.6713156700134277,154,3.6475448608398438,TRUE
evan-l-2,0.10819990187883377,5.602334022521973,0.4800247251987457,0.6272448301315308,0.5513843894004822,135,4.44512414932251,TRUE
filip-z-1,0.1856914609670639,3.6018264293670654,0.22833900153636932,0.4296019971370697,0.829767107963562,152,3.3350727558135986,FALSE
filip-z-2,0.20291657745838165,4.033145904541016,0.6584293842315674,0.40929970145225525,0.5671120882034302,67,3.8912789821624756,TRUE
gijs-s-1,0.2218729704618454,5.144138813018799,0.5294991731643677,0.3996860384941101,0.5313674211502075,130,4.345811367034912,TRUE
gijs-s-2,0.1747065633535385,4.435474872589111,0.34603023529052734,0.47350233793258667,0.4882397949695587,140,3.801365852355957,TRUE
hidde-s-1,0.2564685046672821,4.819032669067383,0.6889337301254272,0.5036139488220215,0.7272893190383911,70,4.709840774536133,FALSE
hidde-s-2,0.17263346910476685,4.879329681396484,0.6212915182113647,0.47192317247390747,0.5956727266311646,100,4.107456207275391,TRUE
